,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@teslaownersSV @stevenmarkryan Education is the path out of poverty and Internet access enables education,6037,773,2022-09-23 04:19:01+00:00
1,elonmusk,@stevenmarkryan Exactly,2032,90,2022-09-23 04:16:45+00:00
2,elonmusk,Starlink connecting schools in the Amazon https://t.co/Xy70D0sk8N,53798,5421,2022-09-23 02:59:15+00:00
3,elonmusk,@jackfarrington @PopMech It is,2212,89,2022-09-22 20:33:13+00:00
4,elonmusk,@PopMech Why is this a PopMech story?,22312,952,2022-09-22 19:09:40+00:00
5,elonmusk,@BillyM2k https://t.co/vFVHaB1l4t https://t.co/PupzZNZcPE,5885,364,2022-09-22 17:54:37+00:00
6,elonmusk,@ajtourville @Twitter @paraga Yup (sigh),10695,399,2022-09-22 17:39:58+00:00
7,elonmusk,@MuskUniversity Fully reusable orbital rockets are the fundamental breakthrough needed for humanity to become a multiplanet species,6739,547,2022-09-22 16:29:10+00:00
8,elonmusk,"@stocktalkweekly @WholeMarsBlog @SawyerMerritt The terminology is outdated &amp; inaccurate. This is a tiny over-the-air software update. To the best of our knowledge, there have been no injuries.",7312,558,2022-09-22 16:27:30+00:00
9,elonmusk,"@JoeTegtmeyer @teslascope @johnkrausphotos Your car needs a camera upgrade, which is free of charge. There are a few thousand cars in a similar situation. Replacement cameras will be available early next month.",2356,161,2022-09-22 15:24:48+00:00
10,elonmusk,@Rainmaker1973 @biolocousb While (!pheromone) {},14174,575,2022-09-22 15:16:36+00:00
11,elonmusk,@BillyM2k 🤣👍,15381,467,2022-09-21 23:28:35+00:00
12,elonmusk,@teslaownersSV @SawyerMerritt Shaded patio,6158,165,2022-09-21 21:05:20+00:00
13,elonmusk,"@SawyerMerritt Actually, I live in a little house on Weems St that cost ~$50k (but I’ve done a lot with the place!)",59590,2272,2022-09-21 21:03:36+00:00
14,elonmusk,@MuskUniversity Aka cogency,4145,194,2022-09-21 21:02:24+00:00
15,elonmusk,@BillyM2k Looks awesome 😎,28612,786,2022-09-21 17:02:32+00:00
16,elonmusk,@teslaownersSV @Teslarati Maybe little electric Tesla boats with a retro-futuristic Victorian design,4587,340,2022-09-21 16:13:42+00:00
17,elonmusk,"@Teslarati Long-term goal is a boardwalk with amenities that goes all the way to downtown Austin, so you can walk, bike or kayak",4300,265,2022-09-21 16:09:38+00:00
18,elonmusk,@Teslarati Area from south Giga to river really will be next-level great &amp; open to public!,6334,341,2022-09-21 16:04:36+00:00
19,elonmusk,"@Teslarati @KlenderJoey Ecological paradise plans from south portion of Giga Texas to river look great, however we must first get the factory financially on its feet",6507,386,2022-09-21 15:59:15+00:00
20,elonmusk,"@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich I was instrumental in creating OpenAI, which made DALL-E",2128,145,2022-09-21 15:17:17+00:00
21,elonmusk,"@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich Although his methods of instruction very strongly favored stick over carrot, I did learn a tremendous amount of engineering from him &amp; appreciation of art (he is an extremely talented artist)",1397,80,2022-09-21 15:09:59+00:00
22,elonmusk,"@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich Boys High was a good school, but it was government, not private. Brooklyn would be considered a middle income, not exclusive, neighborhood in America.",1097,61,2022-09-21 15:00:26+00:00
23,elonmusk,@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich For sure,1016,58,2022-09-21 14:55:11+00:00
24,elonmusk,"@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich Errol ran out of money in the 90’s. My brother &amp; I financially supported him &amp; his extended family in South Africa since then on condition that he not do bad things. Unfortunately, he did do bad things :(",2055,145,2022-09-21 14:36:49+00:00
25,elonmusk,@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich This is true,1335,62,2022-09-21 14:26:17+00:00
26,elonmusk,"@Teslarati @ResidentSponge With some improvements, it will achieve 300 Mps",14138,646,2022-09-21 14:02:11+00:00
27,elonmusk,"@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich Incorrect. There was tuition for students from outside the school district, which was a small part of the student body, incl black students, but not for students in district, which I was.

Also, I was there for 2.5 years, previously attending govt schools for 9 of 12 years.",1471,86,2022-09-21 13:55:04+00:00
28,elonmusk,"@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich I went to government schools, not private, except for part of one year in third grade",1878,127,2022-09-21 12:56:02+00:00
29,elonmusk,"@NASASpaceflight @yasin_shafiei @thejackbeyer @BocaChicaGal @NicAnsuini Probably Q2 next year, with vehicles initially transferred by boat from Port of Brownsville to the Cape",3803,251,2022-09-21 12:48:03+00:00
30,elonmusk,@cb_doge @PPathole @RBReich 🤣,1656,73,2022-09-21 12:45:47+00:00
31,elonmusk,@PPathole @RBReich https://t.co/82b0Msiktf,4820,217,2022-09-21 12:39:34+00:00
32,elonmusk,"@BnOrdhaug @yasin_shafiei @thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini That’s the plan. We’re taking a little  risk there, as engine isolation was done as retrofit, so not as good as on Booster 9.",1970,124,2022-09-21 12:34:25+00:00
33,elonmusk,"@yasin_shafiei @thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini Late next month maybe, but November seems highly likely. We will have two boosters &amp; ships ready for orbital flight by then, with full stack production at roughly one every two months.",3556,367,2022-09-21 12:30:46+00:00
34,elonmusk,"@thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini Our focus is on reliability upgrades for flight on Booster 7 and completing Booster 9, which has many design changes, especially for full engine RUD isolation.",5344,342,2022-09-21 12:22:06+00:00
35,elonmusk,@enn_nafnlaus @theliamnissan @RBReich Exactly,3617,240,2022-09-21 12:18:01+00:00
36,elonmusk,@teslaownersSV @chicago_glenn @Twitter Seems that way @Twitter @paraga,2515,159,2022-09-21 03:05:09+00:00
37,elonmusk,@chicago_glenn .@Twitter what’s going on?,1460,110,2022-09-21 02:58:45+00:00
38,elonmusk,@TrungTPhan @McDonalds Such miracles are impossible,7822,263,2022-09-21 02:57:41+00:00
39,elonmusk,@ruffpast @stevenmarkryan @SawyerMerritt @mayemusk @RBReich @PenguinBooks That’s a real picture?,1889,69,2022-09-21 02:50:11+00:00
40,elonmusk,@stevenmarkryan @SawyerMerritt @mayemusk @RBReich @PenguinBooks Absolutely,2159,87,2022-09-21 02:49:36+00:00
41,elonmusk,"@jhall @RBReich Unsurprisingly, Reich is also a hypocrite",2213,129,2022-09-21 02:46:23+00:00
42,elonmusk,@teslaownersSV @RBReich Reich is suicidally boring,12246,647,2022-09-21 02:41:37+00:00
43,elonmusk,@TrungTPhan 🤣,43865,1040,2022-09-21 02:39:19+00:00
44,elonmusk,@RBReich You both an idiot and a liar,54499,4912,2022-09-21 02:36:34+00:00
45,elonmusk,@BillyM2k 🤣,7930,283,2022-09-21 01:26:56+00:00
46,elonmusk,@ajtourville @parag @Twitter Curiouser and curiouser …,10067,454,2022-09-21 01:26:11+00:00
47,elonmusk,@BillyM2k @Austen Same,4502,209,2022-09-20 16:42:31+00:00
48,elonmusk,@BLKMDL3 @teslascope @johnkrausphotos Yes,1903,84,2022-09-20 13:03:48+00:00
49,elonmusk,"@ToscaMusk @kimbal Happy birthday bro, love you",15248,538,2022-09-20 12:50:21+00:00
50,elonmusk,"@teslascope @johnkrausphotos Yes, all US &amp; Canada cars with safety scores above 80 should receive an invitation to download FSD Beta by tomorrow",3323,327,2022-09-20 05:12:15+00:00
51,elonmusk,"@teslaownersSV @johnkrausphotos Note, Autopilot/AI team is also working on Optimus and (actually smart) summon/autopark, which have end of month deadlines",5809,515,2022-09-20 05:09:15+00:00
52,elonmusk,@teslaownersSV @johnkrausphotos Next month,2921,135,2022-09-20 05:07:23+00:00
53,elonmusk,@johnkrausphotos Yes,2437,63,2022-09-20 05:04:08+00:00
54,elonmusk,@agusantonetti @erfan_kasraie Ok,12267,1191,2022-09-20 02:39:18+00:00
55,elonmusk,@erfan_kasraie Starlink will ask for an exemption to Iranian sanctions in this regard,56053,13330,2022-09-19 22:25:02+00:00
56,elonmusk,@JitoKayumba @SpaceX Looking forward to providing Starlink service to the people of Zambia!,28236,2716,2022-09-19 22:23:17+00:00
57,elonmusk,@chazman @aelluswamy Car will move on tighter gaps as we enhance NN velocity predictions for crossing traffic. 10.69.3 next month has some step-change improvements.,7042,371,2022-09-19 22:04:59+00:00
58,elonmusk,*10.69.2.2,27102,850,2022-09-19 21:57:54+00:00
59,elonmusk,"FSD Beta 10.69.2.1 looks good, extending to 160k owners in US &amp; Canada",41712,2930,2022-09-19 20:57:53+00:00
60,elonmusk,@MuskUniversity Profoundly important concept,7761,348,2022-09-19 20:55:46+00:00
61,elonmusk,"Baltasar Gracián, Oráculo Manual y Arte de Prudencia",33421,3020,2022-09-19 19:33:52+00:00
62,elonmusk,Great for clearing dust!,56752,2565,2022-09-19 18:56:02+00:00
63,elonmusk,"@Erdayastronaut @NASASpaceflight Booster 7 now returns to high bay for robustness upgrades &amp; booster 8 moves to pad for testing.

Next big test is probably full stack wet dress rehearsal, then 33 engine firing in a few weeks.",11091,937,2022-09-19 18:53:02+00:00
64,elonmusk,7 engine static fire https://t.co/sOm8Jx8rJq,131159,10154,2022-09-19 18:30:43+00:00
65,elonmusk,@NASASpaceflight Chamber pressure looked good on all 7 engines,17601,775,2022-09-19 18:00:22+00:00
66,elonmusk,"@SciGuySpace Yes, seven engine static fire",10148,542,2022-09-19 17:14:34+00:00
67,elonmusk,@RonMadison11 @CathieDWood @federalreserve There is too much latency in Fed decisions. Problematic in a fast-changing world.,3592,301,2022-09-19 17:13:42+00:00
68,elonmusk,@PopMech Tunnels ftw,7632,340,2022-09-19 16:28:12+00:00
69,elonmusk,"@CathieDWood Yes, the fundamental error is reasoning by analogy, rather than first principles",13480,1020,2022-09-19 15:16:05+00:00
70,elonmusk,"starry, starry night 
paint your palette
blue and gray https://t.co/iUm9pzfDGc",202008,14820,2022-09-19 06:30:06+00:00
71,elonmusk,"Starlink is now active on all continents, including Antarctica 
https://t.co/Q1VvqV5G0i",113092,12536,2022-09-19 03:26:40+00:00
72,elonmusk,@SpaceX Another batch with lasers reaches orbit,37302,1484,2022-09-19 02:59:33+00:00
73,elonmusk,@PPathole @NewsfromScience @ScienceVisuals True,3169,171,2022-09-18 17:24:03+00:00
74,elonmusk,"@NewsfromScience @ScienceVisuals Starship will be an incredible enabler for science. Full reusability &amp; high production rate drive several orders of magnitude improvement in $/kg to orbit &amp; beyond.

Next gen Starlink constellation is primary user of this rocket, so science doesn’t need to cover fixed cost.",17718,1392,2022-09-18 16:43:12+00:00
75,elonmusk,"@Kristennetten Should be Alexander, the Greatest. After all, is there a better Alexander?",5571,248,2022-09-18 03:52:29+00:00
76,elonmusk,@cb_doge 🤣,1766,81,2022-09-18 03:50:22+00:00
77,elonmusk,https://t.co/VDcpkjm56j,255457,21651,2022-09-18 03:16:21+00:00
78,elonmusk,@erikbryn @ericschmidt @CondoleezzaRice @scsp_ai @Ukraine Hyperloop could do that trip in less than half an hour,3973,259,2022-09-17 22:16:08+00:00
79,elonmusk,@Rainmaker1973 Looks like they’re fighting an actual fire demon!,55928,1476,2022-09-17 19:44:19+00:00
80,elonmusk,to help mend the fault in our stars,51750,2298,2022-09-17 15:09:12+00:00
81,elonmusk,@LarckeningXuruo @cb_doge It will be later this year when laser links activate on polar constellation,2781,184,2022-09-17 14:45:55+00:00
82,elonmusk,Starlink is meant for peaceful use only,221606,12798,2022-09-17 01:48:30+00:00
83,elonmusk,@ExposingBiden @MUSCkids Is it really true that four-year-olds are receiving hormone treatment?,33288,2912,2022-09-16 21:26:49+00:00
